ticker,shortName,revenue,revenueGrowth,earningGrowth,grossMargin,operatingMargin,netMargin,eps,debt,cash,asset,equity,returnOnAsset,returnOnEquity,debtEquityRatio,freeCashFlow,operatingCashFlow,marketCap,dividendYield
JNJ,Johnson & Johnson,94943000000.0,0.012455345241269011,-0.14067439409905158,0.6725508989604289,0.24965505619160971,0.18896601118565876,6.73,39659000000.0,23519000000.0,187378000000.0,76804000000.0,0.09574763312662106,0.233594604447685,0.5163663350867143,17185000000.0,21194000000.0,388773216256.0,0.03004836627507698
MA,Mastercard Incorporated,22237000000.0,0.17755772082185972,0.14308737193507537,0.7633223906102442,0.5675225974726806,0.4465530422269191,10.22,14023000000.0,7408000000.0,38724000000.0,6298000000.0,0.25643012085528355,1.5766910130200062,2.2265798666243253,10098000000.0,11195000000.0,390367838208.0,0.004874889306290707
PG,Procter & Gamble Company (The),82006000000.0,0.02268447503959492,-0.006037172703839411,0.47857473843377313,0.2211301612077165,0.17868204765504964,5.9,34607000000.0,8246000000.0,120829000000.0,47065000000.0,0.12127055590959124,0.31133538723042603,0.7353022415807925,13786000000.0,16848000000.0,361711927296.0,0.024878914188073874
AVGO,Broadcom Inc.,33203000000.0,0.20958105646630232,0.7065023752969122,0.6654519169954523,0.4301418546516881,0.3462036562961178,26.463676,39515000000.0,12416000000.0,73249000000.0,22709000000.0,0.15693047004054664,0.5061869743273592,1.7400590074419833,16312000000.0,16736000000.0,351518982144.0,0.020004609586401614
HD,"Home Depot, Inc. (The)",157403000000.0,0.04132127523038953,0.040893324408203036,0.3353049179494673,0.15272262917479337,0.10867010158637383,16.69,50364000000.0,2757000000.0,76445000000.0,1562000000.0,0.2237556413107463,10.950704225352112,32.24327784891165,11496000000.0,14615000000.0,321422491648.0,0.024232902806720764
CVX,Chevron Corporation,235717000000.0,0.5148323329434599,1.2697600000000002,0.3138594161642987,0.16823139612331736,0.15045584323574457,18.28,23339000000.0,17901000000.0,257709000000.0,159282000000.0,0.13761645887415652,0.22265541618010823,0.14652628671161838,37600000000.0,49600000000.0,317615407104.0,0.034633080618781696
ORCL,Oracle Corporation,49954000000.0,0.17704995287464653,0.26589251153788895,0.728470192577171,0.2757136565640389,0.17021659927132962,3.07,90481000000.0,10187000000.0,134384000000.0,1556000000.0,0.06327390165495893,5.464652956298201,58.14974293059126,8470000000.0,17165000000.0,312092917760.0,0.011752910083082047
MRK,"Merck & Company, Inc.",59283000000.0,0.21721008541392894,0.11265231052187907,0.7063070357438052,0.3083852031779768,0.24491000792807383,5.71,30691000000.0,13192000000.0,109160000000.0,45991000000.0,0.13300659582264565,0.31569220064795284,0.6673262159987824,14707000000.0,19095000000.0,272834150400.0,0.02570059499413751
ABBV,AbbVie Inc.,58054000000.0,0.03304446856593768,0.025472188528851136,0.7000378957522306,0.32407758294002137,0.20387914700106796,6.63,63271000000.0,9229000000.0,138805000000.0,17254000000.0,0.08527070350491697,0.6859858583516866,3.667033731308682,24248000000.0,24943000000.0,268499402752.0,0.037404180035648854
KO,Coca-Cola Company (The),43004000000.0,0.11250808433579107,-0.02343670044007773,0.5814342851827737,0.2536740768300623,0.2218863361547763,2.19,39149000000.0,11631000000.0,92763000000.0,24105000000.0,0.10286428856332805,0.3958514830947936,1.6241028832192492,9534000000.0,11018000000.0,250552270847.99997,0.030396850821680726
ADBE,Adobe Inc.,17606000000.0,0.11536268609439349,-0.013687266694317746,0.8770305577643985,0.34635919572872886,0.27013518118823127,10.1,4633000000.0,6096000000.0,27165000000.0,14051000000.0,0.17507822565801584,0.3384812468863426,0.32972742153583373,7396000000.0,7838000000.0,241068064768.0,0.0
PEP,"Pepsico, Inc.",86392000000.0,0.08704733623575,0.16959831976896833,0.5303268821187147,0.13145893138253542,0.10313454949532364,6.42,39071000000.0,5348000000.0,92187000000.0,17149000000.0,0.09665137166845651,0.5195638229634381,2.278325266779404,5604000000.0,10811000000.0,247564140544.0,0.024930912798750187
COST,Costco Wholesale Corporation,226954000000.0,0.15834817714580285,0.16716596764529656,0.12148717361227385,0.03433735470624003,0.025749711395260715,13.14,9039000000.0,11049000000.0,64166000000.0,20642000000.0,0.0910762709222953,0.2831121015405484,0.43789361495979073,3501000000.0,7392000000.0,246549807104.0,0.006075851437872395
BAC,Bank of America Corporation,94950000000.0,0.06550110533816622,-0.13915817124272933,,,0.2899210110584518,3.19,302914000000.0,,3050706000000.0,244800000000.0,0.00902348505559041,0.11245098039215687,1.2373937908496733,-6327000000.0,-6327000000.0,229173313536.0,0.03742146006303141
CSCO,"Cisco Systems, Inc.",56998000000.0,0.10553368116841555,0.06781239417541474,0.6272676234253833,0.2730271237587284,0.2212884662619741,,8391000000.0,26146000000.0,101852000000.0,44353000000.0,0.12383654714684052,0.28437760692625075,0.18918675174170857,19037000000.0,19886000000.0,227234365440.0,0.027733481191532225
CRM,"Salesforce, Inc.",31352000000.0,0.18345160803261362,-0.8559556786703602,0.7333503444756315,0.0592625669813728,0.006634345496300076,0.21,14088000000.0,12508000000.0,98849000000.0,58359000000.0,0.002104219567218687,0.003564146061447249,0.24140235439263866,6313000000.0,7111000000.0,208815538176.0,0.0
MCD,McDonald's Corporation,23182600000.0,-0.0017353560494167697,-0.1812808142925304,0.5697031394235331,0.44622259798297,0.2664670916980839,8.33,48037900000.0,2583800000.0,50435600000.0,-6003400000.0,0.1224809459984614,-1.028983575973615,-8.0017823233501,5487500000.0,7386700000.0,202763747328.0,0.020556929209131884
TMO,Thermo Fisher Scientific Inc,44915000000.0,0.1454693835913392,-0.10032362459546929,0.4341534008683068,0.1894022041634198,0.15473672492485807,17.63,34488000000.0,8524000000.0,97290000000.0,44032000000.0,0.07143591324904923,0.15783975290697674,0.7832485465116279,6911000000.0,9154000000.0,198968819712.0,0.0022867904662579575
PFE,"Pfizer, Inc.",100330000000.0,0.2342535183544927,0.42736248236953456,0.657689624240008,0.37149406957041764,0.3126881291737267,5.47,34870000000.0,22732000000.0,197205000000.0,95661000000.0,0.1590831875459547,0.3279497391831572,0.36451636508085844,26031000000.0,29267000000.0,192357859328.0,0.0466994175927202
CMCSA,Comcast Corporation,121427000000.0,0.043321733900416826,-0.6207359276785084,0.6853006333023133,0.18631770528795077,0.04422410172366936,1.21,94811000000.0,4749000000.0,257275000000.0,80943000000.0,0.020872607132445826,0.06634298209851378,1.171330442410091,12646000000.0,26413000000.0,187033387008.0,0.0253484154665777
DHR,Danaher Corporation,31471000000.0,0.06851594065120703,0.12062801181408367,0.6021098789361634,0.2760636776715071,0.2290680308855772,9.66,19677000000.0,5995000000.0,84350000000.0,48414000000.0,0.08546532305868405,0.14890320981534266,0.4064320237947701,7367000000.0,8519000000.0,188464349184.0,0.004340343431220388
ABT,Abbott Laboratories,43653000000.0,0.013418456181079508,-0.01951633432329236,0.5614963461846838,0.19155613588985865,0.15882069960827436,3.91,17716000000.0,10170000000.0,74438000000.0,36686000000.0,0.09313791343131196,0.18898217303603554,0.48290901161205907,7804000000.0,9581000000.0,176555524096.0,0.01874197942512844
NFLX,"Netflix, Inc.",31615550000.0,0.0645739131769969,-0.12202427256955706,0.39370705238403253,0.17816647187855345,0.14207957792921522,9.95,14353076000.0,6058452000.0,48594768000.0,20777401000.0,0.09243637092783322,0.21619277598771858,0.6908022808049957,1618528000.0,2026257000.0,175902769152.0,0.0
AMD,"Advanced Micro Devices, Inc.",23601000000.0,0.4361080686381891,-0.5825426944971537,0.4492606245498072,0.05355705266725986,0.055929833481632135,0.84,2863000000.0,5855000000.0,67580000000.0,54750000000.0,0.01953240603728914,0.02410958904109589,0.05229223744292238,3565000000.0,3565000000.0,163974348800.0,0.0
TMUS,"T-Mobile US, Inc.",79571000000.0,-0.006827429541426344,-0.1435185185185185,0.5449849819657916,0.10188385215719295,0.032549546945495215,2.06,107858000000.0,4507000000.0,211338000000.0,69656000000.0,0.01225524988407196,0.037182726541862866,1.5484380383599403,-520000000.0,16781000000.0,166974963712.0,
INTC,Intel Corporation,63054000000.0,-0.20209050415063778,-0.5966378095429836,0.426079233672725,0.03704760998509214,0.1270974085704317,1.94,42051000000.0,28338000000.0,182103000000.0,101423000000.0,0.04400806137186098,0.07901560789958885,0.4146100983011743,-9617000000.0,15433000000.0,158641438720.0,0.037802229029103955
WFC,Wells Fargo & Company,73785000000.0,-0.059967894817306244,-0.3882494895117876,,,0.17865419800772514,3.14,226015000000.0,,1881016000000.0,160441000000.0,0.007007914871537509,0.08216104362351269,1.408710990332895,27048000000.0,27048000000.0,157144596480.0,0.033682354459280736
DIS,Walt Disney Company (The),82722000000.0,0.22700169094307165,0.5764411027568923,0.08184038103527477,0.08184038103527477,0.03801890669954788,1.72,48369000000.0,11615000000.0,203631000000.0,95008000000.0,0.015444603228388604,0.0331024755810037,0.5091044964634557,1067000000.0,6010000000.0,156592570368.0,-0.0
INTU,Intuit Inc.,14368000000.0,0.1290271884331291,0.15392061955469516,0.78125,0.2186108017817372,0.16592427616926503,8.42,6600000000.0,3662000000.0,27780000000.0,17269000000.0,0.08581713462922966,0.13805084255023453,0.3821877352481325,4786000000.0,5046000000.0,150801776640.0,0.005895156010809184
TXN,Texas Instruments Incorporated,20028000000.0,0.09180113388573918,0.12614236066417805,0.6875873776712602,0.5191232274815258,0.43683842620331537,9.41,8735000000.0,9067000000.0,27207000000.0,14577000000.0,0.321571654353659,0.6001920834190848,0.5992316663236605,5923000000.0,8720000000.0,147653427200.0,0.029101932013942445
PM,Philip Morris International Inc,31762000000.0,0.011367616621557053,-0.006696673619497218,0.6410175681632139,0.384799445878723,0.2848687110383477,5.81,43123000000.0,3207000000.0,61681000000.0,-8957000000.0,0.14669022875764012,-1.0101596516690856,-4.814446801384392,9726000000.0,10803000000.0,148699611136.0,0.05253544337015905
NKE,"Nike, Inc.",51217000000.0,0.09648897452365657,-0.16142904399603042,0.43524610969014194,0.11548899779370131,0.09899056953745826,3.23,12144000000.0,10675000000.0,37531000000.0,14004000000.0,0.13508832698302736,0.3620394173093402,0.8671808054841473,4872000000.0,5841000000.0,147274924032.0,0.013661524616117481
COP,ConocoPhillips,78494000000.0,0.7127956707689622,1.3121673474439906,0.3823604351924988,0.32438148138711237,0.23797997299156623,14.57,16643000000.0,9243000000.0,93829000000.0,48003000000.0,0.19908557055920878,0.3891423452700873,0.34670749744807616,18155000000.0,28314000000.0,147973849088.0,0.03869602659720468
MS,Morgan Stanley,50210000000.0,-0.10997270181160701,-0.2663961686843156,,,0.2196574387572197,6.15,246216000000.0,,1180231000000.0,91391000000.0,0.009344780809858408,0.12067927914127212,2.6940946045015375,-9475000000.0,-6397000000.0,146492719104.0,0.0368687265349048
CAT,"Caterpillar, Inc.",59427000000.0,0.1658982558709854,0.03328710124826628,0.2946808689652851,0.1485688323489323,0.11282750265031047,12.64,36993000000.0,7004000000.0,81943000000.0,15869000000.0,0.08182517115555936,0.4225218980402042,2.3311487806415023,5167000000.0,7766000000.0,144137977856.0,0.01692822416613659
VZ,Verizon Communications Inc.,136835000000.0,0.024114420004041515,-0.03666440063448906,0.5678517923046005,0.2226550224723207,0.1553403734424672,5.06,176331000000.0,2605000000.0,379680000000.0,91144000000.0,0.05598398651495996,0.23321337663477573,1.9346418853682086,10401000000.0,37141000000.0,142054506496.0,0.07606235287089783
AMGN,Amgen Inc.,26323000000.0,0.013241464259594382,0.11182759205837445,0.7566386810014056,0.363408426091251,0.24890779926300194,12.11,38945000000.0,9305000000.0,65121000000.0,3661000000.0,0.10061270557884554,1.7896749521988529,10.63780387872166,8785000000.0,9721000000.0,139459379200.0,0.030087614214763407
NEE,"NextEra Energy, Inc.",20956000000.0,0.2277227722772277,0.16064931430170715,0.48382324871158616,0.16983202901317046,0.1978908188585608,2.1,64966000000.0,1601000000.0,158935000000.0,39229000000.0,0.026092427722024726,0.10571261056871192,1.6560707639756302,-1480000000.0,8262000000.0,138907451392.0,0.024131174867938362
UPS,"United Parcel Service, Inc.",100338000000.0,0.031360819020012975,-0.10411171450737,0.13049891367178934,-0.7390021726564213,0.1150909924455341,13.2,23521000000.0,7595000000.0,71124000000.0,19786000000.0,0.16236432146673416,0.5836450015162236,1.1887698372586677,9335000000.0,14104000000.0,137130680320.0,0.037292894544578015
IBM,International Business Machines,60530000000.0,0.05543059406113238,-0.7145593869731801,0.5400132165868164,0.1350404757971254,0.027077482240211465,1.8,54013000000.0,8738000000.0,127243000000.0,21944000000.0,0.012880865745070455,0.07469012030623405,2.461401749908859,8575000000.0,10435000000.0,132997775360.0,0.04472255256826575
LOW,"Lowe's Companies, Inc.",97059000000.0,0.00840519480519486,-0.23750296138355842,0.33234424422258624,0.10466829454249477,0.06632048547790519,10.17,37994000000.0,1732000000.0,43708000000.0,-14254000000.0,0.14727281046947927,-0.45159253542865163,-2.665497404237407,6760000000.0,8589000000.0,126976843776.0,0.018664820525708763
UNP,Union Pacific Corporation,24875000000.0,0.14084571638231513,0.07281925494404407,0.45045226130653265,0.3986733668341709,0.2813266331658291,11.21,34626000000.0,1019000000.0,65449000000.0,12163000000.0,0.10692294763861938,0.5753514757872236,2.846830551673107,5742000000.0,9362000000.0,130009161728.00002,0.024298287582294652
HON,Honeywell International Inc.,35466000000.0,0.03122819260293097,-0.10393359797906898,0.328229853944623,0.18121581232729939,0.14002142897422884,7.27,19570000000.0,10110000000.0,62275000000.0,17319000000.0,0.07974307507025291,0.28673710953288295,1.1299728621744904,4508000000.0,5274000000.0,128171032576.00002,0.021213841734385244
QCOM,QUALCOMM Incorporated,44200000000.0,0.31680867544539115,0.4304987282981312,0.5783936651583711,0.3588235294117647,0.29266968325791853,11.37,15482000000.0,6382000000.0,49014000000.0,18013000000.0,0.2639245929734362,0.718148004219175,0.8594903680675068,6834000000.0,9096000000.0,126264238080.0,0.025438715259699287
BA,Boeing Company (The),66608000000.0,0.0693895899560093,0.17785547785547795,0.052576267115061255,-0.05310172952197934,-0.07586175834734567,-8.3,57001000000.0,17220000000.0,137100000000.0,-15883000000.0,-0.03685630926331145,0.31813889063778883,-3.588805641251653,2290000000.0,3512000000.0,125532774399.99998,
SPGI,S&P Global Inc.,11181000000.0,0.3475955164517295,0.07407407407407418,0.663178606564708,0.2700116268670065,0.2904928002861998,10.2,11533000000.0,1287000000.0,61784000000.0,36477000000.0,0.052570244723553025,0.0890424102859336,0.3161718343065493,2514000000.0,2603000000.0,123544338432.00002,0.008288522266551449
GE,General Electric Company,58099000000.0,-0.2169523963555987,-1.0519938650306748,0.23799032685588392,0.004750512057006145,0.005834868070018416,-0.06,26148000000.0,23419000000.0,188851000000.0,33690000000.0,0.0017950659514643819,0.01006233303650935,0.7761353517364203,4742000000.0,5916000000.0,125697007615.99998,0.005083653239798062
BMY,Bristol-Myers Squibb Company,46159000000.0,-0.004872264740756749,-0.09536745782098943,0.7803895231699127,0.19723130917047596,0.13706969388418294,2.95,40717000000.0,9123000000.0,96820000000.0,31061000000.0,0.06534806858087172,0.20369595312449695,1.310872154792183,11948000000.0,13066000000.0,123319574528.0,0.03757716500187762
AMAT,"Applied Materials, Inc.",25785000000.0,0.11802454147335562,0.1081861413043479,0.465115377157262,0.3018809385301532,0.2530541012216405,7.44,5457000000.0,2581000000.0,26726000000.0,12194000000.0,0.24414427897927113,0.5350992291290799,0.4475151713957684,4612000000.0,5399000000.0,115650830336.0,0.007548583935486462
NOW,"ServiceNow, Inc.",7245000000.0,0.22879918588873815,0.4130434782608696,0.7828847481021394,0.04899930986887509,0.04485852311939269,1.6,2232000000.0,4280000000.0,13299000000.0,5032000000.0,0.024437927663734114,0.06458664546899841,0.4435612082670906,2173000000.0,2723000000.0,118234324992.0,0.0
AXP,American Express Company,52862000000.0,0.24733364794714485,-0.06774193548387097,,,0.14214369490371154,9.85,44000000000.0,,228000000000.0,25000000000.0,0.03295614035087719,0.30056,1.76,19224000000.0,21079000000.0,120595161088.0,0.01297730344966327
DE,Deere & Company,51282000000.0,0.19169009829665606,0.19587455978534285,0.3109083109083109,0.17343317343317344,0.13905463905463905,23.28,51899000000.0,5508000000.0,90030000000.0,20262000000.0,0.07920693102299234,0.35193959135327213,2.561395716118843,911000000.0,4699000000.0,118688088063.99998,0.011062609748098673
PLD,"Prologis, Inc.",5973692000.0,0.2551249726858622,0.14461668667422067,0.747376664213689,0.38174080618819983,0.5632791245347099,4.25,23875961000.0,278483000.0,87897448000.0,53237282000.0,0.03828161199856451,0.06320487961800905,0.44848196795621537,4126430000.0,4126430000.0,113801322496.0,0.02259435078261395
BKNG,Booking Holdings Inc. Common St,17090000000.0,0.5595911662712174,1.624892703862661,,0.2868929198361615,0.1789350497366881,76.35,13037000000.0,12396000000.0,25361000000.0,2782000000.0,0.1205788415283309,1.0992092020129403,4.686196980589504,6186000000.0,6554000000.0,112792698879.99998,0.0
GS,"Goldman Sachs Group, Inc. (The)",47365000000.0,-0.20178971671244883,-0.47950080887450885,,,0.23774939301171752,30.06,308000000000.0,,1442000000000.0,117000000000.0,0.007809292649098474,0.09624786324786325,2.6324786324786325,4960000000.0,8708000000.0,112925507584.00002,0.03260556519758064
SYK,Stryker Corporation,18449000000.0,0.07838438157587091,0.18254764292878645,0.627567889858529,0.1648869857444848,0.12781180551791424,6.17,11857000000.0,1928000000.0,36884000000.0,16616000000.0,0.06393015941871814,0.14191141068849303,0.7135893115069812,2036000000.0,2624000000.0,111187599360.0,0.00945249295829387
SBUX,Starbucks Corporation,32250300000.0,0.10976029400631782,-0.21853642273712282,0.25956657767524643,0.1373537610502848,0.10175409220999494,2.83,23804800000.0,3182900000.0,27978400000.0,-8706600000.0,0.11729048122837618,-0.37690947097604116,-2.7341097558174257,2556000000.0,4397300000.0,110221852672.00002,0.020534040620195027
RTX,RTX Corporation,67074000000.0,0.04171584767347958,0.34497929606625255,0.2037749351462564,0.08071682022840444,0.07748158750037272,3.5,33500000000.0,6220000000.0,158864000000.0,72632000000.0,0.03271351596333971,0.07155248375371737,0.4612292102654477,4393000000.0,7168000000.0,110327660544.0,0.028351910885960604
SCHW,Charles Schwab Corporation (The,20762000000.0,0.12105831533477329,0.2268146883005977,,,0.3459685964743281,3.5,37878000000.0,,551772000000.0,26902000000.0,0.013018058183452585,0.2670061705449409,1.4079994052486804,1086000000.0,2057000000.0,106025025536.0,0.019900961960000334
T,AT&T Inc.,120741000000.0,-0.28498081296191013,-1.424480852547184,0.5788671619416769,0.18975327353591573,-0.07059739442277271,-1.13,154679000000.0,3701000000.0,402853000000.0,97500000000.0,-0.02115908284163206,-0.08742564102564103,1.586451282051282,12397000000.0,32023000000.0,108879265792.0,0.0905498391110973
LMT,Lockheed Martin Corporation,65984000000.0,-0.015810512499254248,-0.09231987331749802,0.12559105237633367,0.12651551891367604,0.08686954413191077,21.66,15429000000.0,2547000000.0,52880000000.0,9266000000.0,0.1083963691376702,0.6186056550830995,1.6651197927908483,6132000000.0,7802000000.0,106788937728.0,0.02824262572666463
TJX,"TJX Companies, Inc. (The)",49936000000.0,0.02854827011058414,0.06554892675950375,0.2760933995514258,0.09732457545658443,0.07004966356936879,2.97,12744000000.0,5477000000.0,28349000000.0,6364000000.0,0.12339059578821122,0.549654305468259,2.0025141420490256,2627000000.0,4084000000.0,105758760960.0,0.012660889630755371
ISRG,"Intuitive Surgical, Inc.",6222200000.0,0.08968319293882776,-0.22427548985099144,0.6743595512841117,0.2534634052264472,0.2125132589759249,3.65,,6741500000.0,12974000000.0,11112600000.0,0.10191922306150764,0.11899105519860338,,958400000.0,1490800000.0,103839465472.0,0.0
BLK,"BlackRock, Inc.",17873000000.0,-0.07747496644988128,-0.12252160650737165,0.4916354277401667,0.3630616012980473,0.2897107368656633,33.97,8489000000.0,7416000000.0,117628000000.0,37744000000.0,0.04402013126126433,0.13718736752861382,0.2249099194573972,4423000000.0,4956000000.0,104125407232.0,0.028715373888891817
ELV,"Elevance Health, Inc.",156595000000.0,0.12951622559308706,-0.012942332896461295,,,0.038475047096012,24.81,24114000000.0,7387000000.0,102772000000.0,36307000000.0,0.0586249172926478,0.16594596083399896,0.6641694439088881,7247000000.0,8399000000.0,104137564160.0,0.011801697206127545
ADP,"Automatic Data Processing, Inc.",17198800000.0,0.07181005203626967,0.1570416087354607,0.42127357722631814,0.21478242668093123,0.19838593390236528,8.21,3338900000.0,2083500000.0,50971000000.0,3509100000.0,0.06694002471993879,0.972329087230344,0.9514975349804793,3636000000.0,4207600000.0,101064531968.0,0.018835490185644312
UBER,"Uber Technologies, Inc.",31877000000.0,0.8262389000286452,17.429435483870968,0.383285754619318,-0.057470903786429085,-0.28675847789942593,-4.65,11139000000.0,4311000000.0,32109000000.0,7340000000.0,-0.2846865364850976,-1.2453678474114442,1.517574931880109,390000000.0,642000000.0,97108074496.0,0.0
MDLZ,"Mondelez International, Inc.",31496000000.0,0.09665738161559889,-0.368139534883721,0.35915671831343665,0.1205232410464821,0.08626492252984506,1.96,23447000000.0,1923000000.0,71161000000.0,26883000000.0,0.03818102612385998,0.10106758918275491,0.8721868839043262,3002000000.0,3908000000.0,97868619776.0,0.02028229277722761
MMC,"Marsh & McLennan Companies, Inc",20720000000.0,0.04540867810292637,-0.029589564110722222,0.41742277992277993,0.20656370656370657,0.1472007722007722,6.04,13472000000.0,1442000000.0,33454000000.0,10749000000.0,0.09116996472768578,0.28374732533258906,1.2533258907805378,2995000000.0,3465000000.0,96908836864.0,0.011742995136728834
GILD,"Gilead Sciences, Inc.",27281000000.0,-0.0008789598974546786,-0.26232931726907627,0.7926395659983139,0.4022579817455372,0.1683222755764085,3.64,25230000000.0,7630000000.0,63171000000.0,21209000000.0,0.07269158316316031,0.21651185817341695,1.189589325286435,9072000000.0,9072000000.0,94285570048.0,0.039337938966819405
ABNB,"Airbnb, Inc.",8399000000.0,0.4017584148897819,-6.377321508717908,0.8215263721871652,0.2251458506965115,0.2253839742826527,2.79,2341000000.0,9622000000.0,16038000000.0,5560000000.0,0.11803217358772915,0.3404676258992806,0.4210431654676259,3405000000.0,3430000000.0,91086487552.0,0.0
REGN,"Regeneron Pharmaceuticals, Inc.",12172900000.0,-0.2425879029598611,-0.46275680160489396,0.8718136187761338,0.4102555676954547,0.35639822885261524,38.22,2701400000.0,14334100000.0,29214500000.0,22664000000.0,0.14850160023276113,0.19142252029650547,0.11919343452170844,3398000000.0,5014900000.0,89387483136.0,0.0
VRTX,Vertex Pharmaceuticals Incorpor,8930700000.0,0.17906368821292773,0.4183852098544041,0.879035237999261,0.48880826810888284,0.3719753210834537,12.82,471600000.0,10778500000.0,18150900000.0,13912700000.0,0.1830212275975296,0.23877464474904225,0.03389708683433122,3925200000.0,4129900000.0,90049347584.0,0.0
CVS,CVS Health Corporation,322467000000.0,0.10391940050186399,-0.4549936788874842,0.1690157442466981,0.050516797067606915,0.01336880983170371,3.14,70732000000.0,15723000000.0,228275000000.0,71469000000.0,0.018885116635636842,0.060319858959828734,0.9896878366844366,13450000000.0,16177000000.0,91025432576.0,0.03193612947208852
ADI,"Analog Devices, Inc.",12013953000.0,0.6416348035591941,0.9767818691016108,0.6269771489866824,0.295756858712532,0.22878073520014602,5.25,6548625000.0,1470572000.0,50302350000.0,36465323000.0,0.054640807039830146,0.07537465114459564,0.1795849991511113,3776094000.0,4475402000.0,88769650688.0,0.017399550274548897
